geoid,geographic_area_name,estimated_population,Margin of Error!!Total
250092684001,"Block Group 1, Census Tract 2684, Essex County, Massachusetts",769,255
250092684002,"Block Group 2, Census Tract 2684, Essex County, Massachusetts",1064,256
250092684003,"Block Group 3, Census Tract 2684, Essex County, Massachusetts",1127,237
250092684004,"Block Group 4, Census Tract 2684, Essex County, Massachusetts",1352,257
250092691001,"Block Group 1, Census Tract 2691, Essex County, Massachusetts",791,205
250092691002,"Block Group 2, Census Tract 2691, Essex County, Massachusetts",1055,315
250092691003,"Block Group 3, Census Tract 2691, Essex County, Massachusetts",1096,253
250092691004,"Block Group 4, Census Tract 2691, Essex County, Massachusetts",3134,484
250092691005,"Block Group 5, Census Tract 2691, Essex County, Massachusetts",984,351
250092701001,"Block Group 1, Census Tract 2701, Essex County, Massachusetts",3017,384
250092701002,"Block Group 2, Census Tract 2701, Essex County, Massachusetts",3355,382
250099901000,"Block Group 0, Census Tract 9901, Essex County, Massachusetts",0,12
250110401001,"Block Group 1, Census Tract 401, Franklin County, Massachusetts",1052,127
250110401002,"Block Group 2, Census Tract 401, Franklin County, Massachusetts",1265,190
250110401003,"Block Group 3, Census Tract 401, Franklin County, Massachusetts",1252,143
250110401004,"Block Group 4, Census Tract 401, Franklin County, Massachusetts",932,115
250110402001,"Block Group 1, Census Tract 402, Franklin County, Massachusetts",1665,165
250110402002,"Block Group 2, Census Tract 402, Franklin County, Massachusetts",1109,151
250110402003,"Block Group 3, Census Tract 402, Franklin County, Massachusetts",1596,174
250110403001,"Block Group 1, Census Tract 403, Franklin County, Massachusetts",1577,153
250110403002,"Block Group 2, Census Tract 403, Franklin County, Massachusetts",1404,154
250110404001,"Block Group 1, Census Tract 404, Franklin County, Massachusetts",1059,129
250110404002,"Block Group 2, Census Tract 404, Franklin County, Massachusetts",1477,157
250110404003,"Block Group 3, Census Tract 404, Franklin County, Massachusetts",862,122
250110405011,"Block Group 1, Census Tract 405.01, Franklin County, Massachusetts",749,183
250110405012,"Block Group 2, Census Tract 405.01, Franklin County, Massachusetts",1019,250
250110405013,"Block Group 3, Census Tract 405.01, Franklin County, Massachusetts",753,179
250110405014,"Block Group 4, Census Tract 405.01, Franklin County, Massachusetts",1345,248
250110405021,"Block Group 1, Census Tract 405.02, Franklin County, Massachusetts",1100,248
250110405022,"Block Group 2, Census Tract 405.02, Franklin County, Massachusetts",1289,259
250110405023,"Block Group 3, Census Tract 405.02, Franklin County, Massachusetts",1389,314
250110406001,"Block Group 1, Census Tract 406, Franklin County, Massachusetts",2001,159
250110406002,"Block Group 2, Census Tract 406, Franklin County, Massachusetts",1755,135
250110406003,"Block Group 3, Census Tract 406, Franklin County, Massachusetts",1009,109
250110407011,"Block Group 1, Census Tract 407.01, Franklin County, Massachusetts",799,232
250110407012,"Block Group 2, Census Tract 407.01, Franklin County, Massachusetts",1207,292
250110407013,"Block Group 3, Census Tract 407.01, Franklin County, Massachusetts",1112,232
250110407014,"Block Group 4, Census Tract 407.01, Franklin County, Massachusetts",766,171
250110407021,"Block Group 1, Census Tract 407.02, Franklin County, Massachusetts",921,197
250110407022,"Block Group 2, Census Tract 407.02, Franklin County, Massachusetts",1491,271
250110407023,"Block Group 3, Census Tract 407.02, Franklin County, Massachusetts",648,189
250110407024,"Block Group 4, Census Tract 407.02, Franklin County, Massachusetts",1335,231
250110408001,"Block Group 1, Census Tract 408, Franklin County, Massachusetts",1584,283
250110408002,"Block Group 2, Census Tract 408, Franklin County, Massachusetts",738,149
250110408003,"Block Group 3, Census Tract 408, Franklin County, Massachusetts",1415,223
250110408004,"Block Group 4, Census Tract 408, Franklin County, Massachusetts",1494,221
250110409001,"Block Group 1, Census Tract 409, Franklin County, Massachusetts",944,309
250110409002,"Block Group 2, Census Tract 409, Franklin County, Massachusetts",2072,296
250110409003,"Block Group 3, Census Tract 409, Franklin County, Massachusetts",1521,352
250110409004,"Block Group 4, Census Tract 409, Franklin County, Massachusetts",480,173
250110410001,"Block Group 1, Census Tract 410, Franklin County, Massachusetts",698,145
250110410002,"Block Group 2, Census Tract 410, Franklin County, Massachusetts",1486,259
250110410003,"Block Group 3, Census Tract 410, Franklin County, Massachusetts",881,206
250110411001,"Block Group 1, Census Tract 411, Franklin County, Massachusetts",818,148
250110411002,"Block Group 2, Census Tract 411, Franklin County, Massachusetts",1264,283
250110411003,"Block Group 3, Census Tract 411, Franklin County, Massachusetts",815,178
250110411004,"Block Group 4, Census Tract 411, Franklin County, Massachusetts",933,229
250110412001,"Block Group 1, Census Tract 412, Franklin County, Massachusetts",1163,213
250110412002,"Block Group 2, Census Tract 412, Franklin County, Massachusetts",814,251
250110412003,"Block Group 3, Census Tract 412, Franklin County, Massachusetts",1151,243
250110413001,"Block Group 1, Census Tract 413, Franklin County, Massachusetts",911,237
250110413002,"Block Group 2, Census Tract 413, Franklin County, Massachusetts",663,198
250110413003,"Block Group 3, Census Tract 413, Franklin County, Massachusetts",804,207
250110413004,"Block Group 4, Census Tract 413, Franklin County, Massachusetts",1362,323
250110413005,"Block Group 5, Census Tract 413, Franklin County, Massachusetts",985,306
250110414001,"Block Group 1, Census Tract 414, Franklin County, Massachusetts",1172,202
250110414002,"Block Group 2, Census Tract 414, Franklin County, Massachusetts",1455,284
250110415011,"Block Group 1, Census Tract 415.01, Franklin County, Massachusetts",751,88
250110415012,"Block Group 2, Census Tract 415.01, Franklin County, Massachusetts",698,121
250110415013,"Block Group 3, Census Tract 415.01, Franklin County, Massachusetts",1968,153
250110415021,"Block Group 1, Census Tract 415.02, Franklin County, Massachusetts",863,148
250110415022,"Block Group 2, Census Tract 415.02, Franklin County, Massachusetts",901,165
250110415023,"Block Group 3, Census Tract 415.02, Franklin County, Massachusetts",1049,154
250110415024,"Block Group 4, Census Tract 415.02, Franklin County, Massachusetts",786,134
250138001011,"Block Group 1, Census Tract 8001.01, Hampden County, Massachusetts",988,218
250138001012,"Block Group 2, Census Tract 8001.01, Hampden County, Massachusetts",1485,393
250138001013,"Block Group 3, Census Tract 8001.01, Hampden County, Massachusetts",1564,353
250138001021,"Block Group 1, Census Tract 8001.02, Hampden County, Massachusetts",2029,347
250138001022,"Block Group 2, Census Tract 8001.02, Hampden County, Massachusetts",1192,439
250138001023,"Block Group 3, Census Tract 8001.02, Hampden County, Massachusetts",1218,265
250138002011,"Block Group 1, Census Tract 8002.01, Hampden County, Massachusetts",1253,393
250138002012,"Block Group 2, Census Tract 8002.01, Hampden County, Massachusetts",1734,542
250138002013,"Block Group 3, Census Tract 8002.01, Hampden County, Massachusetts",1095,400
250138002014,"Block Group 4, Census Tract 8002.01, Hampden County, Massachusetts",940,299
250138002015,"Block Group 5, Census Tract 8002.01, Hampden County, Massachusetts",1524,497
250138002021,"Block Group 1, Census Tract 8002.02, Hampden County, Massachusetts",1482,134
250138003001,"Block Group 1, Census Tract 8003, Hampden County, Massachusetts",1494,301
250138003002,"Block Group 2, Census Tract 8003, Hampden County, Massachusetts",1337,453
250138003003,"Block Group 3, Census Tract 8003, Hampden County, Massachusetts",692,254
250138003004,"Block Group 4, Census Tract 8003, Hampden County, Massachusetts",885,295
250138004001,"Block Group 1, Census Tract 8004, Hampden County, Massachusetts",1850,751
250138004002,"Block Group 2, Census Tract 8004, Hampden County, Massachusetts",2054,729
250138004003,"Block Group 3, Census Tract 8004, Hampden County, Massachusetts",655,393
250138004004,"Block Group 4, Census Tract 8004, Hampden County, Massachusetts",991,284
250138004005,"Block Group 5, Census Tract 8004, Hampden County, Massachusetts",817,354
250138005001,"Block Group 1, Census Tract 8005, Hampden County, Massachusetts",1979,533
250138005002,"Block Group 2, Census Tract 8005, Hampden County, Massachusetts",703,310
250138005003,"Block Group 3, Census Tract 8005, Hampden County, Massachusetts",1369,428
250138006001,"Block Group 1, Census Tract 8006, Hampden County, Massachusetts",624,129
250138006002,"Block Group 2, Census Tract 8006, Hampden County, Massachusetts",948,343
250138006003,"Block Group 3, Census Tract 8006, Hampden County, Massachusetts",802,245
250138007001,"Block Group 1, Census Tract 8007, Hampden County, Massachusetts",1794,422
250138007002,"Block Group 2, Census Tract 8007, Hampden County, Massachusetts",2469,437
250138008001,"Block Group 1, Census Tract 8008, Hampden County, Massachusetts",1620,301
250138008002,"Block Group 2, Census Tract 8008, Hampden County, Massachusetts",503,220
250138009001,"Block Group 1, Census Tract 8009, Hampden County, Massachusetts",1501,542
250138009002,"Block Group 2, Census Tract 8009, Hampden County, Massachusetts",1161,387
250138009003,"Block Group 3, Census Tract 8009, Hampden County, Massachusetts",1588,547
250138011011,"Block Group 1, Census Tract 8011.01, Hampden County, Massachusetts",1710,230
250138011021,"Block Group 1, Census Tract 8011.02, Hampden County, Massachusetts",748,123
250138011022,"Block Group 2, Census Tract 8011.02, Hampden County, Massachusetts",438,151
250138012001,"Block Group 1, Census Tract 8012, Hampden County, Massachusetts",729,251
250138012002,"Block Group 2, Census Tract 8012, Hampden County, Massachusetts",1210,355
250138012003,"Block Group 3, Census Tract 8012, Hampden County, Massachusetts",559,216
250138013001,"Block Group 1, Census Tract 8013, Hampden County, Massachusetts",1079,346
250138013002,"Block Group 2, Census Tract 8013, Hampden County, Massachusetts",1468,602
250138013003,"Block Group 3, Census Tract 8013, Hampden County, Massachusetts",1637,471
250138013004,"Block Group 4, Census Tract 8013, Hampden County, Massachusetts",959,312
250138014011,"Block Group 1, Census Tract 8014.01, Hampden County, Massachusetts",1755,458
250138014012,"Block Group 2, Census Tract 8014.01, Hampden County, Massachusetts",2030,379
250138014021,"Block Group 1, Census Tract 8014.02, Hampden County, Massachusetts",1063,228
250138014022,"Block Group 2, Census Tract 8014.02, Hampden County, Massachusetts",940,198
250138015011,"Block Group 1, Census Tract 8015.01, Hampden County, Massachusetts",2279,878
250138015012,"Block Group 2, Census Tract 8015.01, Hampden County, Massachusetts",1306,582
250138015013,"Block Group 3, Census Tract 8015.01, Hampden County, Massachusetts",1123,550
250138015014,"Block Group 4, Census Tract 8015.01, Hampden County, Massachusetts",712,342
250138015021,"Block Group 1, Census Tract 8015.02, Hampden County, Massachusetts",1369,334
250138015022,"Block Group 2, Census Tract 8015.02, Hampden County, Massachusetts",496,178
250138015023,"Block Group 3, Census Tract 8015.02, Hampden County, Massachusetts",1304,282
250138015031,"Block Group 1, Census Tract 8015.03, Hampden County, Massachusetts",1522,433
250138015032,"Block Group 2, Census Tract 8015.03, Hampden County, Massachusetts",1839,417
250138015033,"Block Group 3, Census Tract 8015.03, Hampden County, Massachusetts",1099,427
250138016011,"Block Group 1, Census Tract 8016.01, Hampden County, Massachusetts",1970,255
250138016012,"Block Group 2, Census Tract 8016.01, Hampden County, Massachusetts",760,238
250138016013,"Block Group 3, Census Tract 8016.01, Hampden County, Massachusetts",829,309
250138016014,"Block Group 4, Census Tract 8016.01, Hampden County, Massachusetts",1187,298
250138016021,"Block Group 1, Census Tract 8016.02, Hampden County, Massachusetts",2440,390
250138016022,"Block Group 2, Census Tract 8016.02, Hampden County, Massachusetts",1268,349
250138016023,"Block Group 3, Census Tract 8016.02, Hampden County, Massachusetts",1243,402
250138016031,"Block Group 1, Census Tract 8016.03, Hampden County, Massachusetts",1405,294
250138016032,"Block Group 2, Census Tract 8016.03, Hampden County, Massachusetts",2291,382
250138016041,"Block Group 1, Census Tract 8016.04, Hampden County, Massachusetts",2503,325
250138016042,"Block Group 2, Census Tract 8016.04, Hampden County, Massachusetts",1328,260
250138016051,"Block Group 1, Census Tract 8016.05, Hampden County, Massachusetts",1047,267
250138016052,"Block Group 2, Census Tract 8016.05, Hampden County, Massachusetts",3113,450
250138016053,"Block Group 3, Census Tract 8016.05, Hampden County, Massachusetts",954,372
250138017001,"Block Group 1, Census Tract 8017, Hampden County, Massachusetts",641,226
250138017002,"Block Group 2, Census Tract 8017, Hampden County, Massachusetts",2102,286
250138017003,"Block Group 3, Census Tract 8017, Hampden County, Massachusetts",762,321
250138017004,"Block Group 4, Census Tract 8017, Hampden County, Massachusetts",1817,404
250138017005,"Block Group 5, Census Tract 8017, Hampden County, Massachusetts",1419,446
250138017006,"Block Group 6, Census Tract 8017, Hampden County, Massachusetts",936,424
250138018001,"Block Group 1, Census Tract 8018, Hampden County, Massachusetts",881,342
250138018002,"Block Group 2, Census Tract 8018, Hampden County, Massachusetts",1228,328
250138018003,"Block Group 3, Census Tract 8018, Hampden County, Massachusetts",904,227
250138018004,"Block Group 4, Census Tract 8018, Hampden County, Massachusetts",541,189
250138018005,"Block Group 5, Census Tract 8018, Hampden County, Massachusetts",668,290
250138019011,"Block Group 1, Census Tract 8019.01, Hampden County, Massachusetts",1031,400
250138019012,"Block Group 2, Census Tract 8019.01, Hampden County, Massachusetts",2677,420
250138019021,"Block Group 1, Census Tract 8019.02, Hampden County, Massachusetts",1666,539
250138019022,"Block Group 2, Census Tract 8019.02, Hampden County, Massachusetts",1035,339
250138019023,"Block Group 3, Census Tract 8019.02, Hampden County, Massachusetts",929,345
250138020001,"Block Group 1, Census Tract 8020, Hampden County, Massachusetts",2126,560
250138020002,"Block Group 2, Census Tract 8020, Hampden County, Massachusetts",837,260
250138021001,"Block Group 1, Census Tract 8021, Hampden County, Massachusetts",1937,555
250138021002,"Block Group 2, Census Tract 8021, Hampden County, Massachusetts",753,366
250138021003,"Block Group 3, Census Tract 8021, Hampden County, Massachusetts",564,235
250138021004,"Block Group 4, Census Tract 8021, Hampden County, Massachusetts",869,396
250138021005,"Block Group 5, Census Tract 8021, Hampden County, Massachusetts",538,179
250138021006,"Block Group 6, Census Tract 8021, Hampden County, Massachusetts",1610,595
250138022001,"Block Group 1, Census Tract 8022, Hampden County, Massachusetts",1055,299
250138022002,"Block Group 2, Census Tract 8022, Hampden County, Massachusetts",829,278
250138022003,"Block Group 3, Census Tract 8022, Hampden County, Massachusetts",1003,325
250138023001,"Block Group 1, Census Tract 8023, Hampden County, Massachusetts",587,371
250138023002,"Block Group 2, Census Tract 8023, Hampden County, Massachusetts",2286,816
250138023003,"Block Group 3, Census Tract 8023, Hampden County, Massachusetts",1738,498
250138023004,"Block Group 4, Census Tract 8023, Hampden County, Massachusetts",1134,549
250138023005,"Block Group 5, Census Tract 8023, Hampden County, Massachusetts",1123,420
250138024001,"Block Group 1, Census Tract 8024, Hampden County, Massachusetts",746,219
250138024002,"Block Group 2, Census Tract 8024, Hampden County, Massachusetts",680,182
250138024003,"Block Group 3, Census Tract 8024, Hampden County, Massachusetts",1653,311
250138024004,"Block Group 4, Census Tract 8024, Hampden County, Massachusetts",773,227
250138025001,"Block Group 1, Census Tract 8025, Hampden County, Massachusetts",1090,350
250138025002,"Block Group 2, Census Tract 8025, Hampden County, Massachusetts",1012,355
250138025003,"Block Group 3, Census Tract 8025, Hampden County, Massachusetts",758,282
250138025004,"Block Group 4, Census Tract 8025, Hampden County, Massachusetts",973,344
250138025005,"Block Group 5, Census Tract 8025, Hampden County, Massachusetts",1091,390
250138025006,"Block Group 6, Census Tract 8025, Hampden County, Massachusetts",1563,394
250138026011,"Block Group 1, Census Tract 8026.01, Hampden County, Massachusetts",457,238
250138026012,"Block Group 2, Census Tract 8026.01, Hampden County, Massachusetts",1868,595
250138026013,"Block Group 3, Census Tract 8026.01, Hampden County, Massachusetts",1249,430
250138026014,"Block Group 4, Census Tract 8026.01, Hampden County, Massachusetts",1348,585
250138026015,"Block Group 5, Census Tract 8026.01, Hampden County, Massachusetts",1570,489
250138026016,"Block Group 6, Census Tract 8026.01, Hampden County, Massachusetts",1055,293
250138026021,"Block Group 1, Census Tract 8026.02, Hampden County, Massachusetts",1975,225
250138101001,"Block Group 1, Census Tract 8101, Hampden County, Massachusetts",2579,409
250138101002,"Block Group 2, Census Tract 8101, Hampden County, Massachusetts",1147,335
250138101003,"Block Group 3, Census Tract 8101, Hampden County, Massachusetts",1656,405
250138101004,"Block Group 4, Census Tract 8101, Hampden County, Massachusetts",960,366
250138102001,"Block Group 1, Census Tract 8102, Hampden County, Massachusetts",936,281
250138102002,"Block Group 2, Census Tract 8102, Hampden County, Massachusetts",1011,235
250138102003,"Block Group 3, Census Tract 8102, Hampden County, Massachusetts",417,204
250138103001,"Block Group 1, Census Tract 8103, Hampden County, Massachusetts",1740,422
250138103002,"Block Group 2, Census Tract 8103, Hampden County, Massachusetts",1791,352
250138104031,"Block Group 1, Census Tract 8104.03, Hampden County, Massachusetts",1378,254
250138104032,"Block Group 2, Census Tract 8104.03, Hampden County, Massachusetts",1626,484
250138104033,"Block Group 3, Census Tract 8104.03, Hampden County, Massachusetts",1105,247
250138104041,"Block Group 1, Census Tract 8104.04, Hampden County, Massachusetts",1195,291
250138104042,"Block Group 2, Census Tract 8104.04, Hampden County, Massachusetts",2600,353
250138104121,"Block Group 1, Census Tract 8104.12, Hampden County, Massachusetts",2182,430
250138104122,"Block Group 2, Census Tract 8104.12, Hampden County, Massachusetts",2374,484
250138104123,"Block Group 3, Census Tract 8104.12, Hampden County, Massachusetts",1731,325
250138104141,"Block Group 1, Census Tract 8104.14, Hampden County, Massachusetts",2205,494
250138104142,"Block Group 2, Census Tract 8104.14, Hampden County, Massachusetts",1518,418
250138104143,"Block Group 3, Census Tract 8104.14, Hampden County, Massachusetts",3377,591
250138106011,"Block Group 1, Census Tract 8106.01, Hampden County, Massachusetts",971,259
250138106012,"Block Group 2, Census Tract 8106.01, Hampden County, Massachusetts",2194,442
250138106013,"Block Group 3, Census Tract 8106.01, Hampden County, Massachusetts",1070,335
250138106021,"Block Group 1, Census Tract 8106.02, Hampden County, Massachusetts",2712,240
250138107001,"Block Group 1, Census Tract 8107, Hampden County, Massachusetts",1431,406
250138107002,"Block Group 2, Census Tract 8107, Hampden County, Massachusetts",983,301
250138107003,"Block Group 3, Census Tract 8107, Hampden County, Massachusetts",1262,452
250138107004,"Block Group 4, Census Tract 8107, Hampden County, Massachusetts",1107,373
250138107005,"Block Group 5, Census Tract 8107, Hampden County, Massachusetts",1551,500
250138108001,"Block Group 1, Census Tract 8108, Hampden County, Massachusetts",1350,326
250138108002,"Block Group 2, Census Tract 8108, Hampden County, Massachusetts",1356,310
250138108003,"Block Group 3, Census Tract 8108, Hampden County, Massachusetts",1150,230
250138109011,"Block Group 1, Census Tract 8109.01, Hampden County, Massachusetts",1963,236
250138109021,"Block Group 1, Census Tract 8109.02, Hampden County, Massachusetts",1741,290
250138109022,"Block Group 2, Census Tract 8109.02, Hampden County, Massachusetts",565,216
250138109023,"Block Group 3, Census Tract 8109.02, Hampden County, Massachusetts",1335,307
250138109024,"Block Group 4, Census Tract 8109.02, Hampden County, Massachusetts",734,253
250138110001,"Block Group 1, Census Tract 8110, Hampden County, Massachusetts",826,304
250138110002,"Block Group 2, Census Tract 8110, Hampden County, Massachusetts",724,266
250138110003,"Block Group 3, Census Tract 8110, Hampden County, Massachusetts",663,217
250138110004,"Block Group 4, Census Tract 8110, Hampden County, Massachusetts",899,258
250138110005,"Block Group 5, Census Tract 8110, Hampden County, Massachusetts",1242,394
250138111011,"Block Group 1, Census Tract 8111.01, Hampden County, Massachusetts",1496,427
250138111012,"Block Group 2, Census Tract 8111.01, Hampden County, Massachusetts",1438,353
250138111013,"Block Group 3, Census Tract 8111.01, Hampden County, Massachusetts",1079,263
250138111014,"Block Group 4, Census Tract 8111.01, Hampden County, Massachusetts",789,316
250138111021,"Block Group 1, Census Tract 8111.02, Hampden County, Massachusetts",1635,523
250138111022,"Block Group 2, Census Tract 8111.02, Hampden County, Massachusetts",1770,494
250138111023,"Block Group 3, Census Tract 8111.02, Hampden County, Massachusetts",1124,297
250138111024,"Block Group 4, Census Tract 8111.02, Hampden County, Massachusetts",1752,472
250138112001,"Block Group 1, Census Tract 8112, Hampden County, Massachusetts",1654,387
250138112002,"Block Group 2, Census Tract 8112, Hampden County, Massachusetts",1080,351
250138112003,"Block Group 3, Census Tract 8112, Hampden County, Massachusetts",1176,390
250138112004,"Block Group 4, Census Tract 8112, Hampden County, Massachusetts",807,352
250138113011,"Block Group 1, Census Tract 8113.01, Hampden County, Massachusetts",1016,405
250138113012,"Block Group 2, Census Tract 8113.01, Hampden County, Massachusetts",1224,398
250138113013,"Block Group 3, Census Tract 8113.01, Hampden County, Massachusetts",2162,360
250138113014,"Block Group 4, Census Tract 8113.01, Hampden County, Massachusetts",1648,665
250138113021,"Block Group 1, Census Tract 8113.02, Hampden County, Massachusetts",0,12
250138113022,"Block Group 2, Census Tract 8113.02, Hampden County, Massachusetts",1261,329
250138113023,"Block Group 3, Census Tract 8113.02, Hampden County, Massachusetts",1523,367
250138113024,"Block Group 4, Census Tract 8113.02, Hampden County, Massachusetts",1198,238
250138113025,"Block Group 5, Census Tract 8113.02, Hampden County, Massachusetts",1760,388
250138114001,"Block Group 1, Census Tract 8114, Hampden County, Massachusetts",967,223
250138114002,"Block Group 2, Census Tract 8114, Hampden County, Massachusetts",1368,266
250138115001,"Block Group 1, Census Tract 8115, Hampden County, Massachusetts",1338,264
250138115002,"Block Group 2, Census Tract 8115, Hampden County, Massachusetts",859,235
250138116001,"Block Group 1, Census Tract 8116, Hampden County, Massachusetts",1176,337
250138116002,"Block Group 2, Census Tract 8116, Hampden County, Massachusetts",1053,350
250138116003,"Block Group 3, Census Tract 8116, Hampden County, Massachusetts",558,185
250138116004,"Block Group 4, Census Tract 8116, Hampden County, Massachusetts",1165,367
250138117001,"Block Group 1, Census Tract 8117, Hampden County, Massachusetts",427,173
250138117002,"Block Group 2, Census Tract 8117, Hampden County, Massachusetts",954,333
250138117003,"Block Group 3, Census Tract 8117, Hampden County, Massachusetts",836,296
250138118001,"Block Group 1, Census Tract 8118, Hampden County, Massachusetts",713,325
250138118002,"Block Group 2, Census Tract 8118, Hampden County, Massachusetts",1074,388
250138118003,"Block Group 3, Census Tract 8118, Hampden County, Massachusetts",1075,323
250138118004,"Block Group 4, Census Tract 8118, Hampden County, Massachusetts",301,145
250138118005,"Block Group 5, Census Tract 8118, Hampden County, Massachusetts",922,275
250138119001,"Block Group 1, Census Tract 8119, Hampden County, Massachusetts",1208,279
250138119002,"Block Group 2, Census Tract 8119, Hampden County, Massachusetts",1110,226
250138119003,"Block Group 3, Census Tract 8119, Hampden County, Massachusetts",1285,360
250138120011,"Block Group 1, Census Tract 8120.01, Hampden County, Massachusetts",1027,284
250138120012,"Block Group 2, Census Tract 8120.01, Hampden County, Massachusetts",941,399
250138120013,"Block Group 3, Census Tract 8120.01, Hampden County, Massachusetts",733,234
250138120014,"Block Group 4, Census Tract 8120.01, Hampden County, Massachusetts",669,126
250138120021,"Block Group 1, Census Tract 8120.02, Hampden County, Massachusetts",2143,414
250138120022,"Block Group 2, Census Tract 8120.02, Hampden County, Massachusetts",706,144
250138120023,"Block Group 3, Census Tract 8120.02, Hampden County, Massachusetts",1084,354
250138120024,"Block Group 4, Census Tract 8120.02, Hampden County, Massachusetts",657,230
250138121011,"Block Group 1, Census Tract 8121.01, Hampden County, Massachusetts",823,374
250138121012,"Block Group 2, Census Tract 8121.01, Hampden County, Massachusetts",2282,468
250138121013,"Block Group 3, Census Tract 8121.01, Hampden County, Massachusetts",1185,376
250138121014,"Block Group 4, Census Tract 8121.01, Hampden County, Massachusetts",1234,374
250138121031,"Block Group 1, Census Tract 8121.03, Hampden County, Massachusetts",1029,409
250138121032,"Block Group 2, Census Tract 8121.03, Hampden County, Massachusetts",2903,424
250138121041,"Block Group 1, Census Tract 8121.04, Hampden County, Massachusetts",1512,453
250138121042,"Block Group 2, Census Tract 8121.04, Hampden County, Massachusetts",982,307
250138121043,"Block Group 3, Census Tract 8121.04, Hampden County, Massachusetts",684,243
250138121044,"Block Group 4, Census Tract 8121.04, Hampden County, Massachusetts",1258,334
250138122011,"Block Group 1, Census Tract 8122.01, Hampden County, Massachusetts",1907,393
250138122012,"Block Group 2, Census Tract 8122.01, Hampden County, Massachusetts",956,314
250138122013,"Block Group 3, Census Tract 8122.01, Hampden County, Massachusetts",1731,329
250138122021,"Block Group 1, Census Tract 8122.02, Hampden County, Massachusetts",2211,312
250138122022,"Block Group 2, Census Tract 8122.02, Hampden County, Massachusetts",632,279
250138122023,"Block Group 3, Census Tract 8122.02, Hampden County, Massachusetts",1019,312
250138123001,"Block Group 1, Census Tract 8123, Hampden County, Massachusetts",655,283
250138123002,"Block Group 2, Census Tract 8123, Hampden County, Massachusetts",1552,478
250138123003,"Block Group 3, Census Tract 8123, Hampden County, Massachusetts",2277,741
250138123004,"Block Group 4, Census Tract 8123, Hampden County, Massachusetts",974,453
250138124011,"Block Group 1, Census Tract 8124.01, Hampden County, Massachusetts",818,352
250138124012,"Block Group 2, Census Tract 8124.01, Hampden County, Massachusetts",1420,383
250138124013,"Block Group 3, Census Tract 8124.01, Hampden County, Massachusetts",1380,262
250138124014,"Block Group 4, Census Tract 8124.01, Hampden County, Massachusetts",2833,463
250138124031,"Block Group 1, Census Tract 8124.03, Hampden County, Massachusetts",1135,357
250138124032,"Block Group 2, Census Tract 8124.03, Hampden County, Massachusetts",1088,273
250138124033,"Block Group 3, Census Tract 8124.03, Hampden County, Massachusetts",1026,273
250138124034,"Block Group 4, Census Tract 8124.03, Hampden County, Massachusetts",878,180
250138124041,"Block Group 1, Census Tract 8124.04, Hampden County, Massachusetts",1892,320
250138124042,"Block Group 2, Census Tract 8124.04, Hampden County, Massachusetts",2225,308
250138125001,"Block Group 1, Census Tract 8125, Hampden County, Massachusetts",795,218
250138125002,"Block Group 2, Census Tract 8125, Hampden County, Massachusetts",1340,325
250138125003,"Block Group 3, Census Tract 8125, Hampden County, Massachusetts",2370,437
250138125004,"Block Group 4, Census Tract 8125, Hampden County, Massachusetts",778,385
250138125005,"Block Group 5, Census Tract 8125, Hampden County, Massachusetts",2587,407
250138126001,"Block Group 1, Census Tract 8126, Hampden County, Massachusetts",1667,363
250138126002,"Block Group 2, Census Tract 8126, Hampden County, Massachusetts",739,215
250138126003,"Block Group 3, Census Tract 8126, Hampden County, Massachusetts",2282,364
250138126004,"Block Group 4, Census Tract 8126, Hampden County, Massachusetts",1587,389
250138127011,"Block Group 1, Census Tract 8127.01, Hampden County, Massachusetts",1199,238
250138127012,"Block Group 2, Census Tract 8127.01, Hampden County, Massachusetts",1599,485
250138127013,"Block Group 3, Census Tract 8127.01, Hampden County, Massachusetts",1587,382
250138127021,"Block Group 1, Census Tract 8127.02, Hampden County, Massachusetts",2074,508
250138127022,"Block Group 2, Census Tract 8127.02, Hampden County, Massachusetts",2172,539
250138127023,"Block Group 3, Census Tract 8127.02, Hampden County, Massachusetts",1028,287
250138128001,"Block Group 1, Census Tract 8128, Hampden County, Massachusetts",565,252
250138128002,"Block Group 2, Census Tract 8128, Hampden County, Massachusetts",1755,432
250138128003,"Block Group 3, Census Tract 8128, Hampden County, Massachusetts",2780,413
250138128004,"Block Group 4, Census Tract 8128, Hampden County, Massachusetts",1649,342
250138129011,"Block Group 1, Census Tract 8129.01, Hampden County, Massachusetts",2115,355
250138129012,"Block Group 2, Census Tract 8129.01, Hampden County, Massachusetts",648,174
250138129013,"Block Group 3, Census Tract 8129.01, Hampden County, Massachusetts",677,220
250138129021,"Block Group 1, Census Tract 8129.02, Hampden County, Massachusetts",553,194
250138129022,"Block Group 2, Census Tract 8129.02, Hampden County, Massachusetts",2028,239
250138129023,"Block Group 3, Census Tract 8129.02, Hampden County, Massachusetts",2074,295
250138129031,"Block Group 1, Census Tract 8129.03, Hampden County, Massachusetts",2801,275
250138130001,"Block Group 1, Census Tract 8130, Hampden County, Massachusetts",798,111
250138130002,"Block Group 2, Census Tract 8130, Hampden County, Massachusetts",1470,223
250138130003,"Block Group 3, Census Tract 8130, Hampden County, Massachusetts",1470,169
250138130004,"Block Group 4, Census Tract 8130, Hampden County, Massachusetts",1105,173
250138130005,"Block Group 5, Census Tract 8130, Hampden County, Massachusetts",530,97
